"type","geometry__type","geometry__coordinates__001","geometry__coordinates__002","properties__name__001","properties__name__002","properties__address__street","properties__address__zipcode","properties__address__city","properties__owner__001","properties__owner__002","properties__photo_taken","properties__source"
"Feature","Point","6.027836","50.892065","Open Line Landgraaf","","Minckelersstraat 2","6372 PP","Landgraaf","Open Line Landgraaf","","False","datacentermap.com"
"Feature","Point","5.183921","51.694424","Pelu Datacenter","","Middelweg 43","525 3E","Nieuwkuijk","Pelu Datacenter","","False","datacentermap.com"
"Feature","Point","5.558343","53.18219","PowerXS Telecom DC Franeker","","Oostelijke Industrieweg 4B","8801 JW","Franeker","PowerXS Telecom","","False","datacentermap.com"
"Feature","Point","6.201482","52.714714","Serverius SDC2","","Ketelskamp 10","7942 KG","Meppel","Serverius","","False","datacentermap.com"
"Feature","Point","6.734056","52.656025","I-DATACENTER","","Monierweg 9","7741 KV","Coevorden","I-DATACENTER","","False","datacentermap.com"
"Feature","Point","6.754949","52.658351","Muller Networks","","Europaweg 2","7742 PN","Coevorden","Muller Networks","","False","datacentermap.com"
"Feature","Point","5.875016","50.938069","Emango Datacenter","","Breinder 24","6365 CX","Schinnen","Emango Internet Services BV","","False","datacentermap.com"
"Feature","Point","5.971308","50.892319","SmartDC Heerlen","","Kloosterweg 1","6412 CN","Heerlen","SmartDC","","False","datacentermap.com"
"Feature","Point","5.164383","52.242621","Alticom Datacenter Hilversum","","Witte Kruislaan 47-A","1217 AM","Hilversum","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","5.169137","52.241273","Media Gateway","","Koos Postemalaan 2","1217 ZC","Hilversum","Red Bee Media BV","","False","datacentermap.com"
"Feature","Point","4.796128","52.497903","Alticom Datacenter Wormer","","Eenhoornweg 1","1531 ME","Wormer","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","4.891153","52.082813","Switch Datacenters Woerden","","Polanerbaan 1-3","3447 GN","Woerden","Switch","","False","datacentermap.com"
"Feature","Point","5.556611","52.040541","Cloud Centre Claudia","","Plesmanstraat 51","3905 KZ","Veenendaal","Cloud Centre Claudia","","False","datacentermap.com"
